Churn,Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,PreferredPaymentMode,Gender,HourSpendOnApp,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount,OrderFrequency,CustomerValue,InactivityScore,ComplaintRate,EngagementScore
0,13.0,1,1,26.0,2,1,3.0,3,0,2,0,5,0,20.0,4.0,11.0,1.0,203.22,0.7857142857142857,2235.42,0.0714285714285714,0.0,33.0
0,5.0,0,3,11.0,4,1,2.0,3,2,4,1,2,0,14.0,2.0,5.0,3.0,165.24,0.8333333333333334,826.2,0.5,0.0,10.0
0,1.0,1,3,15.0,6,0,3.0,4,2,3,1,2,1,23.0,2.0,2.0,5.0,174.07,1.0,348.14,2.5,0.3333333333333333,6.0
0,1.0,1,1,19.0,6,1,4.0,4,4,1,2,3,0,14.0,2.0,2.0,5.0,151.47,1.0,302.94,2.5,0.0,8.0
1,9.0,2,3,13.0,4,1,3.0,3,3,1,1,2,1,21.0,1.0,1.0,2.0,122.75,0.2857142857142857,122.75,0.4705882352941176,0.5,3.0
0,7.0,1,3,9.0,4,0,2.0,5,2,1,2,6,0,12.0,1.0,2.0,2.0,160.29,0.25,320.58,0.25,0.0,4.0
1,0.0,1,3,12.0,4,1,3.0,5,2,3,1,5,1,18.0,0.0,7.0,7.0,161.72,7.0,1132.04,7.0,0.125,21.0
0,20.0,0,3,9.0,3,0,2.0,3,1,3,1,10,1,12.0,7.0,2.0,13.0,237.7,0.2857142857142857,322.34,0.6190476190476191,0.0,6.0
0,5.0,1,1,16.0,4,1,3.0,4,0,4,1,3,0,26.0,1.0,2.0,9.0,231.48,0.3333333333333333,462.96,1.5,0.0,6.0
0,8.0,0,1,9.0,4,1,4.0,4,2,3,2,4,0,12.0,2.0,2.0,3.0,165.33,0.2222222222222222,330.66,0.3333333333333333,0.0,8.0
0,1.0,1,1,7.0,4,0,4.0,4,2,3,0,2,0,13.0,2.0,2.0,3.0,173.98,1.0,347.96,1.5,0.0,8.0
0,2.0,2,2,12.0,0,1,3.0,4,3,4,1,2,0,11.0,1.0,1.0,0.0,128.04,0.3333333333333333,128.04,0.0,0.0,6.0
0,9.0,1,3,17.0,5,0,3.0,4,2,1,1,5,0,13.0,1.0,1.0,0.0,166.52,0.1,166.52,0.0,0.0,3.0
0,9.0,2,2,14.0,0,0,3.0,1,3,4,2,10,0,18.0,0.0,1.0,2.0,121.09,0.2857142857142857,121.09,0.4705882352941176,0.0,3.0
0,20.0,2,3,8.0,5,0,2.0,3,2,2,0,1,1,22.0,5.0,7.0,7.0,145.37,0.3333333333333333,1017.59,0.3333333333333333,0.125,14.0
0,5.0,1,1,16.0,4,1,3.0,4,0,4,1,3,0,26.0,2.0,2.0,9.0,231.48,0.3333333333333333,462.96,1.5,0.0,6.0
0,21.0,1,1,9.0,3,0,3.0,4,1,3,1,5,0,15.0,3.0,6.0,7.0,296.69,0.2727272727272727,1780.14,0.3181818181818182,0.0,18.0
0,0.0,2,1,35.0,3,1,3.0,3,4,5,1,2,0,13.0,1.0,1.0,2.0,139.07,1.0,139.07,2.0,0.0,3.0
0,0.0,2,1,13.0,4,1,3.0,5,3,5,0,2,0,15.0,1.0,1.0,1.0,124.51,1.0,124.51,1.0,0.0,3.0
1,9.0,0,1,8.0,4,1,2.0,3,3,5,1,7,1,14.0,0.0,1.0,2.0,120.42,0.2857142857142857,120.42,0.4705882352941176,0.5,2.0
0,11.0,2,1,13.0,4,0,2.0,3,3,5,2,4,0,17.0,1.0,1.0,0.0,126.19,0.0833333333333333,126.19,0.0,0.0,2.0
